,text,class
33,Kaleci Cenk fazla olmasa heyecaný yüksek bir derbi Maçta iki dramatik kýrýlma aný Dakika Quaresma saðdan Almeida arka direkte kafayý iyi Beþiktaþ maçý Top Selçuk Elmander kafayla birlikte içeri girip maçý kazandýran isim iki dramatik kýrýlma noktasýnda bir baþ rol oyuncusu Aslýnda maçý kaybettiren Kaleci Geride býraktýðýmýz haftalarý düþününce kaçýncý hatan be demeden Bir kaleci bacak arasýndan gol Bir defans oyuncusu týpký dün gece yaptýðý kendi kalesine gol atabilir bir kaleci yaptýðý asla hatayý Bu seviyeye gelmiþ çaprazdan Madem topu Alamazsan orada yarý isteyen inatçýlýðý golü Aslýnda pozisyonda biraz þansý demek Top bilardo topu Eboue Beþiktaþ defans oyuncularý arasýnda Ve son önünde çýkarttý Galatasaray golü AYDINUS yarýda günlük yorgunluk nedeniyle fiziki düþüþ Ama öyle Quaresma önemli bir attýrdýðý gole Çok dar alanda çalýmýný yapýp Ama Beþiktaþ defansýyla dün gece hata üstüne hata yapýp gollerine davetiye Yine yaptýðý asistle pozisyona Ve maalesef yine kapalý köþeden golü Dedik böyle derbiler hatayý puan farkýný açýp þampiyonluða bir adým yaklaþýrken alkýþlarýn büyüðünü hakem Fýrat Bir maç kadar hata mükemmel Tebrikler ,AHMET ÇAKAR
34,Hakem Cüneyt Çakýr Fernando dün gece yatsýn kalksýn kalecisi dua Geldiðinden beri iyi maçýný Galatasaray dün gece puan aldýysa bunun baþrol oyuncusu Uruguaylý Kalitesini gösterdi mutlak gol pozisyonunun anlayabilmek mümkün Manasýz toplar Orta saha hücumda savunmada hiçbir varlýk Ýlk yarýya Selçuk Ayhan olsun Engin olsun baskýyý görünce dirençleri Topu rakibe Beþiktaþ baskýyla elde ettiði toplarý pozisyona Ýlk yarýda direkten dönen toplardan gol olsa dün Galatasaray için þey felaket sahanýn kötüsü Galatasaray orta Hücuma hiçbir destek Onlar hücuma destek veremeyince Elmander varlýk Havadan yerden çabukluðuyla Egemen sahadan Beþiktaþ için O kadar kadar bariz pozisyonlar yakaladýlar bir derbide pozisyonlarý elde edebilmek kolay yarýya giren sakatlandý Sabri Necip girdi önemli sakatlýklar yaþayýp tekrar oyundan Bu yarýda yakaladýðý sadece bir pozisyon Hakan Balta soldan girdiði pozisyonda iyi pas verse dönen topu Kazým iyi tamamlasa Galatasaray hak etmediði bir galibiyet sadece deðil yetenekli Ama fizik taktik disiplin olarak geçen gün geriye BEÐENMEDÝM hakem Cüneyt iyilerinden dün gece Hava toplarýndaki faul yorumlarý yanlýþ Son dakikalarda Mustafa indirip onun gol yaptýðý pozisyonda yanlýþ karar Mustafa sýçradýðý topa vurduðu pozisyonu tekrar izlemesini Faulle uzaktan yakýndan ilgisi ,AHMET ÇAKAR
35,Acý göre Milli Takým tarihinin utanç verici gecesini Yenildiðimiz için söylemiyorum ortaya koyduðumuz futbol tam anlamýyla bir Asla bizden iyi olmayan bir takýma karþý üstelik kendi evimizde oynarken bir tane gol hatta yarým gol pozisyonu bile bulamýyorsak Türk futbolunda ciddi problem var Daha kötüsü dün akþam rakip ceza alanýnda bir tane Türk cüce oynasa olmazsa bir tane kafa topu Ama bizimkilerden týk Bence Milli Takýmýmýz dün gece bir dünya rekoru Hayati derecede önemli bir maçý evinde oynayýp tek pozisyon tek kafa topu bile alamayan bir takým yoktur ikinci boyutu tabii yediðimiz Köy takýmlarý bile böyle goller Ýlk gole adý geçen Gökhan Gönül öyle rahat geçiliyor Üstelik kademesine giren bir oyuncumuz bile Ve dakikada golü Ve ilk devrenin sonlarýna doðru yine benzeri bir hatadan ikinci golü yiyip þeye veda gol tam bir Rakip altý pasta kafayý vurduðunda metrelik yarýçaplý bir daire içerisinde tek oyuncumuz bile Bu golleri bayanlar ligindeki takýmlar bile þimdi yeni bir dönem Bence bazý oyuncularýn Milli Takým kariyerleri Arda göstere göstere sarý kart Amaç gitmemek mi Gol umudunu bir tek baðlamýþ bir Milli hayýr mý Nerede Milli dün geceki Milli YAZIKLAR gündem yine Yok efendim Volkan Tabii ýslýklanmamalý ýslýklamadan öte yapýlmasý gereken þey Hem geceyi bize yaþattýðýnýz için hepinize yazýklar olsun futbola Alman hakem ayak Gösterdiði kartlar Göstermediði kartlar Ama sonuca etki ,AHMET ÇAKAR
37,sabotaj var Baþkaný Mehmet Ali Sami TFF bünyesinde çalýþtýðýný bilmediðini Çölgeçen ilgili iddialarým iletilmemiþse ortada ciddi bir sabotaj ihmal var r akþamüstü maçý öncesi canlý yayýnda ekrana gelen bir görüntüyü gece Beyaz Neydi görüntüdeki stat teftiþinde dikkatinizi öncesi FIFA yetkililerinin arkasýnda Türkiye Futbol temsilen mihmandar olarak Sami Ben Sami Çölgeçen yüzünden Galatasaray mahkemelik Sami yýl önceki Manchester United maçýnýn hakemine rüþvet verdiðini söylediðini söylediðim için maalesef bugün Galatasaray tarafýndan mahkemeye verilmiþ Üstelik rüþvet verdiðini söylediðini birçok kiþi tasdik Bunlarýn baþýnda MHK eski Baþkaný Ahmet Güvener TASDÝKLEDÝ gece Beyaz programýna bir diðer þahit olan Futbol Federasyonu eski Dýþ Ýliþkiler Kurulu Üyesi Hürol Bilal O söylediklerini tasdik Üstelik yeni bir bilgi Ayný Sami Banik maçýnýn hakemine bin dolar rüþvet verdiðini söylediðini ifade Üstelik rüþvet parasý Alp özel uçaðýyla Çölgeçen tarafýndan Rumen hakeme bir gerçek Ya Sami Çölgeçen bunlarý bana Yani ben yalan Ya ben doðru Çölgeçen eski bir rüþvet aracýsý olara hala federasyonda çalýþmaya devam Futbol Federasyonu Baþkaný Sami TFF bünyesinde çalýþtýðýndan haberi olmamasýný nasýl boyutta bir Futbol yetkililerinin büyük bir ihmali sabotajý söz Bildiðim kadarýyla Futbol idari mekanizmasýnýn baþýnda Lütfi Arýboðan Lütfi Arýboðan Sami Çölgeçen yakýn Lütfi Arýboðan basketbol oynarken Sami Çölgeçen onun benim Çölgeçen ilgili iddialarýmý bilmemesi mümkün Ve Sevgili Lütfi Çölgeçen ilgili iddialarýmý Futbol Federasyonu Baþkaný Mehmet Ali iletmemiþ ortada ciddi bir sabotaj ihmal var internet sitesinde içi bölümüne Aydýnlar yazdýðýnýzda yýlý tarihli haber yazdýðýnýzda futbolcu Koray ait olanlar hariç haber federasyonda görev yaptýðýný futbol alemi biliyor yazýk Sayýn Mehmet Ali Aydýnlar Ama Mehmet Ali maalesef baþka þeyleri DAHA DA UEFA talimatlarýna göre Þampiyonlar Ligi maç gecesi hiçbir naklen yayýnlýk maçý Ama yazýk Trabzonspor Lille oynarken ayný güne Fenerbahçe maçýný talimatýný bilmiyorsanýz durum Eðer bilip içeriden bir sabotaja uðruyorsanýz durum iki Avrupa Kupasý maçý hakkýnda dediðine kadar insanýn þahit olduðu bir kiþinin TFF bünyesinde Dünya teftiþi için gelen FIFA heyetine statlarý gezdirmesini nasýl yorumlamak fotoðrafý benim yorumlamasý Bu fotoðrafý benim Mehmet Ali yorumlamasý Bu fotoðrafý benim baþta Galatasaray yorumlamasý süredir futbolda kavramýna savaþ açmýþ UEFA Baþkaný Platini fotoðrafý nasýl Görünen Türk futbolunda it kervan gece yayýnda söylediðin Kurtlar Vadisi yazacak Ark adlý arkadaþýmdan Kurtlar senaryosunu yazalým teklifi Yakýnda Türk futbolunun son yýlýný gözler önüne serecek bir televizyon dizisine bir TFF Tahkim Kurulu eski Yargýtay Baþkaný Hasan Gerçeker konularla ilgili baþka bir konudaki bir yanlýþ anlamayý gidermek için baðlanma durumunda Basýnda çýkan haberlerde kendisine ait karýþan takýmlar aðýr cezalar ifadesini Temmuz operasyonu için deðil Bochum operasyonu için söylemek istediðini ifade ,AHMET ÇAKAR
38,Sezonun iyi yarýda sezonun iyi Her yerde pozisyon vermeyen kanatlarý iyi kullanan bir takým Bu sene faydalý takým sinerjisi için pozitif oyuncusu Dün gece gol attý ikinci golün yaradýlýþý açýsýndan büyük katkýsý öncesi herkes eksiklerin neler götürebileceðini Ama gördük Ayhan Selçuk olsun sakatlanana kadar Yekta olsun iyi Bunlara alýþýk olmadýðýmýz þekilde Riera eklenince orta saha üstünlüðünü eline faydalý oyuncu Rakip defansýn üzerine kurduðu baský olumlu hücum ederken orta sahadan fazla oyuncu rakip ceza alanýna devredeki gol duran toptan Riera yetenekli sol ayaðýyla öyle bir kesti vuruþu öne derse desin sað kanatta Solda Hakan kanadý sezon faydalý kullandýklarý gece devre Galatasaray bir ara Geriye çekildi orta sahada top kaybetmeye Galatasaray kalesine özellikle yoðun geldiði dakikalarda sahneye yine Elmander Ceza alaný içinde rakip defansý topu Eren kötü bir vuruþ yapýnca top önünde golü maçý direncini kýrdý puanýný EN RAHAT MAÇI maç hakem faciasýyla yenilmiþ dün gece kaybetseydi taþlar yerinden Üstelik hayatýnýn rahat maçýný oynadýðýný Gerisini maçýndaki hakem nedeniyle MHK maça Cüneyt O zaten dünya çapýnda bir Hangi kararý verirse versin kabul Dün gece þöhretine yakýþýr bir maç ,AHMET ÇAKAR
40,Skandal yýllardýr bir hakemin bir maçta kadar kötü olduðunu Aslýnda kötüden Uzun dakikalar kontrolü kaybetmiþ bir hakem art arda yapýlan faulleri es geçiyor yanlýþ deðerlendiriyor maçý Böyle bir kötü yönetimin sinyallerini Abdullah Yýlmaz aslýnda maçýn hemen baþýnda vermeye Faul olanlarý olmayanlarý ofsayt iptal edilen golünden sonra kontrolü tamamen ofsayt kararý Duran topta kafasýna çarpmýyor topa hamle yapýyor top kafasýnýn üzerinden geçip direkt gol Oyuna müdahalesi Ýþte golden sonra Abdullah bir vaziyette maçý yönetmeye devam Ýlk devrenin son dakikalarýnda sakatlanan yerine giren öyle bir kýrmýzý kart gösterdi tamamen yanlýþ Bir bariz gol þansýnda topun þiddeti diðer defans oyuncularýnýn konumu gösterilen kýrmýzý kartta bunlarýn bazýlarý Mesela kenardan çapraza doðru Gaziantepli oyuncu topu kurtarsa Galatasaraylý diðer defans oyuncularýnýn yetiþme þansý Dolayýsýyla karar devreye maðlup bir kiþi eksikle Ýkinci yarý belli dönem müthiþ bir baskýsýný Ve dakikalarda beraberliði Ama sahneye yine hakem Yýlmaz yardýmcýsý faul yapmadan topa yaptýðý hamlede yardýmcý faulü iþaret hakem faulü Sabri Bu kuduruþ ona ikinci sarý karttan kýrmýzýyý MASÖRÜ dakikadan sonra maç hakemler kelimenin tam manasýyla Bundan sonra neler oldu Hakem hakem olsaydý Galatasaray kiþi kaldýktan sonra maçý masörü yönetseydi tarafsýz Yazýklar olsun ifade dün geceki yönetim için ,AHMET ÇAKAR
41,Pabuç bir takým son lig maçýndan sekiz oyuncu farklý olarak bir sonraki lig maçýna çýkýyorsa oyuncularda teknik adamda büyük sýkýntý var Geçen hafta mukayese ettiðimizde bir iki deðil tam sekiz oyuncu Bir kýsým generaller yerlerini futbolun gerçek askerlerine býrakmýþ Mersin maçýna öyle Kaybedilse herkes için büyük problem Ýlk yarým saat sezonun iyi Ýyi hücum Bu hücum varyasyonlarýndan birinde Mustafa golü Asýl sýkýntý bundan sonra Ta maçýn sonuna Böyle maçlarda iyi kötü Ýlk yarýnýn son Mersin kýpýrdadý pozisyon üretmeye Türk futbolu kaleciler açýsýndan Hem genç iyi kalecilerimiz Cenk bunlardan Dün Beþiktaþ bunda önemli faktör onun kurtarýþlarý GERÇEK yarýda Beþiktaþ haklý olarak muhafazakar oynamaya Ýþte dakikalarda önce geçen haftalardan sonra Holosko yakaladýðý net pozisyonlardan birini gole çevirse þey rahat Son dakika Beþiktaþ için yine sýkýntý Eðer deplasmanda golü bulamýyorsanýz zaman diken üstündesiniz Ýþte dikenlerden son dakikalarda kafasýyla gol olup eline Ama batmadý Beþiktaþ tekrar lige þu bir gerçek Hilbert Holosko oyuncular gerçek Tabi son karar Cüneyt Türk futbolunun önemli Bir iki ufak hatasý dýþýnda iyi maç En önemli avantajý yanlýþ çalsa doðru çalsa ona müthiþ bir haklý güven ,AHMET ÇAKAR
42,santrafor kötü oynamadý final paslarý final vuruþlarý kötü olunca acilen gerçek bir santrafora ihtiyacý Semih tam yeterli tam bir santrafor olduðunu Fenerbahçe yeterli pozisyonlarý üretti sonucu dengeli disiplinli oyunu misafir takým topu kadar ayaðýnda kadar pas yaparsa otomatik olarak savunmasýný kadar Özellikle ilk yarý Samsunspor orta sahada iyi pas ileriye top taþýdý ileride topu Böyle olunca Fenerbahçe oyununu rakibine kabul orta sahada presi eksikti dün Rakibin kadar fazla alan bulmasý þimdiye kadar alýþmadýðýmýz bir Duran top þimdiye kadar Fenerbahçe için önemli silah olmuþtu dün gece buradan golü Ýkinci yarý baskýyý artýrsa disiplinli oyunu karþýsýnda Çünkü Samsun iyi alan daralttý þuursuzca uzun Çünkü rastgele uzaklaþtýrýlan toplar topun duvardan dönmesi misali tekrar akýn olarak kendilerine Ýþte Samsun bunu iyi Özellikle isimsiz siyahi oyuncularý gol yollarýnda deðil top taþýmada topu ileride tutmada faydalý Sonuçta lig yarýþýnda böyle kayýplar Mesela geçen hafta þanslý bir galibiyet alan Fenerbahçe gece kazanabileceði maçý TECRÜBESÝ AZ Ýlker Meral iyi niyetli kendinden Ama büyük maç tecrübesi Bu nedenle bazý faul hatalarý Orta sahada yapýlan bazý faul hatalarý göz ardý edilebilir özellikle ilk yarýda ceza alaný içinde kafasýna kalkan yüksek ayak Bu hareketin karþýlýðý ceza alaný içinde çift vuruþ ,AHMET ÇAKAR
43,Namoðlu önlem Sarvan döneminde hakemleri tayinleri Bazý maçlarda sonuçlar hakemlerle baþlayan þike operasyonunda gördük futbolumuzdaki sektörden insan operasyona dahil Ya gözaltýna alýndýlar sanýk durumunda Dünyadaki bütün þike operasyonlarýna iþin içinde mutlaka hakemler Ama Türk hakemliði adýna mutlu bir tek hakem bile süpheli durumunda Þimdi tablo iyi yönetimlerle sezon baþýndan beri öylesine sonuçlara kadar etkili hakem hatalarý görüyoruz Sevgili Yusuf uyarmamak mümkün gecesi solundan atmýþ saðýndan Rakibinin kayarak geliþinden belli bir þey Ve Eboue Hakeme Hücum defans oyuncusunun bir tarafýndan atýp öbür tarafýndan koþarken yere düþerse bunun adý penaltýdýr artistik olarak penaltý çaldýrma Ama hakemde hiçbir karar DEÐÝL CESARET kendini yere attýðýný ona sarý kart Yok eðer müdahelesi var düþünüyorsan zaman penaltý öðretimle alakasý Bunun cesaret konsantrasyonla alakasý Bizce pozisyon hakeme göre Penaltý sarý kart Pazartesi gecesi oynanan Mersin yarýnýn son dakikalarýnda bir serbest vuruþta elle kestiði topun yorumla alakasý Halis Özkahya pozisyonu durarak pozisyonu koþarak deðil durarak izliyorsanýz isabetli karar verme ihtimaliniz Peki Halis Özkahya anda topa vuran adama Bu tür pozisyonlarda serbest vuruþu kullanan adama aksine ceza alaný içindeki muhtemel kontaklara açýk bir elle oynama penaltýsýný buna karþýn ikinci yarýda karmaþýk bir pozisyonda topa hafif elle dokunuþunu yardýmcý hakemin yardýmýyla Kabak olanýný göremeyip incesini görebiliyorsan kimseyi ikna KUMAÞI DEÐÝLLER Yusuf yapmasý Önemli maçlar hakem arasýnda Halis Özkahya maçýnda verdiði iki kýrmýzý kartýn birinde Çünkü pozisyon Böylesine hatalý karar veren hakemleri bir sonraki hafta maça yolladýðýnýzda iç dünyasýnda rahat Üstelik hakemlerde þöyle bir inanç yapsam yapmasam nasýl olsa maç almaya devam Zira kadro dar bana ihtiyacý düþünce Kendilerini bulunmaz Hint kumaþý zanneden bazý hakemler yaptýklarý önemli hatalara raðmen maç almaya devam ederlerse hata ,AHMET ÇAKAR
44,gece Fenerbahçe takýmýný tanýmasak Eskiþehir küme düþmemeye uðraþan bir takýmýn mücadelesi Ýlginçtir haftalardýr deplasmanlarda Ama önemlisi futbol adýna sahaya hiçbirþey Ýlk yarýya bakýyoruz son dakikasý dýþýnda periþan Ýlk gole rahat ortasýný yapýyor defans Dönen topta golü atan Eskiþehirli Futbolun temel tür pozisyonlarda orta saha oyuncularýnýn topu takip etmeleri Ýnanýlmaz bir disiplinsizlik konsantrasyon eksikliði Bu yarýda maç gidebilirdi yarý birinci yarýdan Yine tuhaf iþler yapan oyuncular var Topu Eskiþehirli üzerine Ama gol Bir bunlara sorumsuzluðu eklenince kazanmasý imkansýz kaç þut kaç orta önemlisi kaç faul Devre arasýnda Sow önemli bir oyuncu almýþlar onu pozisyona sokabilecek hiçbir organizasyon Attýðý gol kiþisel Aslýnda beceri bile Vurdu gol gün be þampiyonluktan Ama önemlisi inançlarýný kaybetmek Halis Özkahya bazý þeyleri Özellikle tempoyu düþürmek için yaptýðý taktik faullere sadece düdük Kart kartlar Ýlk yarýda elle oynamayý Ama ceza alaný dýþýnda olmayan serbest vuruþu küfürden attýðýný Tabii burada hata sorumsuzluk yapan önemli Ýlk yarýnýn hemen baþýnda omzundan çekilerek cezaalaný içinde düþürülmesi Bu pozisyonda Stoch kesinlikle kendini yere Çekme bozuyor Karar penaltý ,AHMET ÇAKAR
45,Özkahya iki gece futboldaki birçok faktör kesinlikle Fenerbahçe Öncelikle þunu Fenerbahçe maça Türk futbol tarihinde ender rastlanabilecek bir golüyle galip Orta sahadan bir faul atýþýnda topu alan Mersin kalecisi biraz önde gördü metreden Hakan hatalý vuruþunu Türk futbol tarihine altýn harflerle Bu gol maçtaki dengeleri Hemen arkasýndan Caner golü atsa Fenerbahçe rahatlayacaktý Ýþte dakikadan sonra ilk yarýnýn sonuna dek Fenerbahçe büyük sýkýntý Mersin sürekli Oyunu iyi kontrol pozisyon Maçtaki dönüm ilk yarýnýn son dakikalarýnda Bir duran topta gelen ortayý Bekir bilerek kasten eliyle Ýþte penaltý verilse Mersin beraberliði saðlasa maçý Fenerbahçe zor hata diyoruz bazý hakem hatalarý sonucu öylesine etkiliyor puanlar bir taraftan öbür tarafa Yoruma açýk pozisyonlarda olabildiðince hakemlerin yanýnda olmaya çalýþýyoruz ani bir olayda hakemin göremediðine kanaat getirmiþsek yine fazla yüklenmiyoruz verilmeyen penaltý kabul edilebilir bir pozisyon ÝLE FARKI yarý yine zorlandýðý dakikalarda sahneye sefer yedek kalecisi Sehiç Topu ayaðýnýn altýndan Binevenu boþ kaleye topu Fenerbahçe dün gece kazandýysa önce sonra hakeme Yoksa böylesine diri bir takýma karþý kadar rahat bir galibiyet Ama lig yarýþýnda takýmýn zaman zaman böyle galibiyetlere ihtiyacý Halis yukarýda O penaltýyý veremiyorsa hakemliðinde büyük sýkýntý var açýk elle oynamasýndaki penaltýyý göremiyor elinin ucuyla attýðý golü Þimdi adama sorarlar elle oynama ,AHMET ÇAKAR
46,Beþiktaþ iyi oynamadý camiasýný anlayabilmek mümkün Takým Avrupa önemli bir galibiyet almýþ büyük bir avantaj yakalamýþken tribünler yine artýk Yýldýrým Demirören Ayný Beþiktaþ Baþkaný hikmetse Futbol Federasyonu baþkanlýðýna aday çeliþkilerin sebebi Koskoca neler çeliþkiler ayný zamanda sahaya Beþiktaþ asla iyi oynamadý maç önemli yerleri hedeflemiþ bir takým dün geceki defansif hatalarý Önce hatasýyla sonra kaleci hatasý ardý ardýna yenilen Disiplinsizlik diz Ayný gelecek hafta Galatasaray maçý var sorumsuzluðuna Sonuçta imamcemaat örneði Beþiktaþ için Koskoca ilk yarýda pozisyonu Býrakýn pozisyonu organize bir ataðý bile Ve devrede yenilen bir gol þeyi Ama dedik Beþiktaþ çeliþkilerle dolu HATALARI yarý Almeida kiþisel becerisi kaliteleri maçý Üstelik sonra gol yiyip puan kaybedebilirlerdi defansýna eksik eksik dün geceki hatalarý yapmalarý Beþiktaþ için sýkýntýlý günler bundan sonra Çünkü baþkan Federasyon baþkaný olur olmaz mý bilmiyorum dünyanýn borcu baþýbozukluk Beþiktaþ için gelecekteki önemli problem Oyun genelinde iyi maç yönettiðini Mesela Cem elle kontrol edip attýðý golü iptal etmesi doðru Tartýþýlacak kararý gösterdiði sarý Þeklen doðru arka arkaya iki faul yapýlan hemen düdüðü çalsa araya girse kartý göstermek zorunda ,AHMET ÇAKAR
47,Þenes Erzik yazýyý bütün oklar Þenes TFF Baþkan adayý olarak gösterirken sabah Akþam saatlerinde Þenes Bakan Suat kurumlardaki görevlerim dolayýsýyla TFF Baþkaný olmamý kabul bilgisini ilettiði haberi Bu bence doðru Zira UEFA birçok Ýcra Kurulu üyesi kendi ülkelerinde federasyon Ve ben yazýmý deðiþtirmemeye karar ay önce genel kurulda puan silme diðer bir deyimle bir defalýk af Ve futbol genel kurulunda büyük bir çoðunlukla kabul Diðer bir büyük futbol ailesi izin Ve böyle bir izin verilmediðini UEFA FIFA öðrenmiþ Kimden Kendi resmi Yani UEFA Asbaþkaný Sayýn Þenes þimdi Þenes TFF Baþkaný olup puan silmeye nasýl karar Zira genel kurul Genel Kurul sefer derse Ben buna ahlaksýzlýðýnda son Ve ay önce kýyakçýlýða hayýr dediniz þimdi evet vaad tür rüþvetler verildi bir ay sonra dönüþ GÜNAHI zaman günahý Neredeyse kurullar özellikle yönetim Aydýnlar Arýboðan Gümüþdað Þimdi Erzik baþkanlýðýnda Arýboðan dönecek futboldaki kýyakçýlýk genel kurulda öyle Amaç üzüm yemek yoksa baðcýyý dövmek bir problem Daha dün resmi kulüp açýklamasýnda yöneticilerinin genel kurulda yaptýklarý konuþmalarda puanýmýzý bile üstelik Galatasaray maddenin aynen iþletilmesini Peki þimdi nasýl oluyor Dört Büyükler puan silmede Bu nasýl Bank Asya alt lig Süper Lig kulüplerinin yaptýðý birtakým kirli eylemleri sizlerin oylarýyla sulandýrmaya Bir ay önce dik Ama þimdi sizler sizlere yazýklar spor zannediyor kulüpleri þike eylemlerini bir þekilde ufak tefek cezalarla affedersek futbolun geleceðini kurtarmýþ LigTV zannediyor hiçbir kulüp küme düþmez sýyýrýrýsa futbolun marka deðeri zarar Hepiniz Hangi sektör olursa olsun bir defalýk bile yapýlmýþ kýyakçýlýðýn bitiþ Yani puan ufak tefek cezalarla Türk futbolunun geleceðini Aksine çirkin hale ,AHMET ÇAKAR
48,Kalite adý derbiydi futbol kalitesi kalite farký derbi Öncelikle þunu sistemini icat Türk futbolu adýna yazýklar Bütün takýmlardaki abartýlý sakatlýklarýn tek nedeni yoðun maç Beþiktaþ yarým takým Fenerbahçe birinci devrenin sonunda Emre kaybedip yarým takým haline kalite Maçýn hemen Holosko iki önemli pozisyon Mesela ikincisinde Holosko pas zamanlamasýný doðru yapsa konuk ekip maça adeta galip baþlamýþ Tam aynýsý deðil ikinci gole baktýðýmýzda topu hemen çýkartmasý aradaki kalite farkýný ortaya yýl Lugano duran toplardan gol Dün gece Fenerbahçe yine bir kornerden maçýn iyi adamý Yobo tarafýndan golü Bu dakikadan sonra Beþiktaþ oyunu Ama sadece topa sahip olma süresi Oyuncu kalitesi kadar düþüktü hücum kanatlarý kullanmakta yarý galibiyetin etkisiyle kendi sahasýna Bu dakikalarda Beþiktaþ beraberliði Mesela sol çaprazdan bulduðu hemen sonra vuruþunun direkten auta gitmesi önemli Beþiktaþ açýsýndan kötü olan oyuncusu dýþýnda takým kalitesi Bunu özellikle dün geceki maçta ikinci yarý net golle Ama golde katkýsý Gelelim Bir hakemin hayatýnda yönettiði ilk derbi Dün gece Özgür ilk derbisiydi bence baþarýlý Hata yapmadý tabii Ama sonucu etkileyecek bir yanlýþýn içinde ,AHMET ÇAKAR
49,Sorumsuz haftalardýr iyi üstelik art arda puanlar Ama baþka bir gerçek var takýmýn önemli oyuncularý sorumsuz kabadayý Ýþte kabadayýnýn kralýnýn nasýl zarar verdiðini dün gece önemli bir Üstelik oyun stratejisi içinde gerekli O olmadýðý zaman gerekli verim Ama Baros oyuna önce hakemle eliyle omzuyla yetmedi küfür hakaret etti oyundan dakikalar Galatasaray için Baský oyuna giren Sabri sað kanatta iyi oynamaya Emre sola gerçek yerine Baros atýlmasaydý Galatasaray Hoca þunu iyi bilmeli þartlar olursa olsun Ujfalusi göbekte Mesela Ujfalusi göbekte Antalyaspor kontratak golünü atabilir Belli Mehmet Eren geriden fýrladý kafayý kaldýrdýðýnda Böylesine kritik pozisyonlarda Ujfalusi kurtarýcý rol Gelelim Engin Beyler sizlerin görevi sadece top yapmak ileriye top atmak Sizler ayný zamanda hücumu desteklemek rakip ceza alaný içinde olmak Bunlar yapýlmadýðýnda Elmander eriyip kayýplar Galatasaray için büyük Engin an kýrmýzý kart görmeye aday birer oyuncu olduðunu ilerisi için endiþe FUTBOLU Ýlker kritik pozisyonlarda doðru kararlar vermesine raðmen futbolu Çok fazla faul hatasý Verdiði penaltý kararý Zira oyuncu kolunu yüzüne korumuþ yapýyor topu elle Ayrýca ikinci devre penaltý beklediði top el kararý ,AHMET ÇAKAR
50,Anlatabilir Mart zamanlarda demokrasi hukuk konularýyla ilgilenen yerli yabancý herkesin eninde sonunda gelip çarptýðý duvar yetkili aðýr ceza siyasetle fikrini hele hele muhalif olan herkesin kâbusu bir gün özel yetkili aðýr ceza mahkemesinin önüne yetkili aðýr ceza eðitim yetkili aðýr ceza halde konser bileti yetkili aðýr ceza mahkemeler herkesi herkesi insanlarýn yargýdan yýlmalarý iyi bir þey yargý adalet yasalardan yasalara özel yetkili yargý sade vatandaþý MÝT bile yetkili aðýr ceza mahkemelerine kimse taraftar herkes sakýncalý endiþe ihzar Baþkaný arka sözcüsü çekincelerini dile adamlarýný onun elinden kurtarmak için kiþiye özel yasalar Yardýmcýsý Bekir Bozdað demokratik hukuk özel yetkili aðýr ceza mahkemeleri benzerlerine yer bundan kendilerinin sorumlu tutulamayacaðýný özel yetkili mahkemeler dýþlanmamýz kaldýrýlmasýný zorunluluk doðunca onun yerine günlerde askerlerin AKP bildiðini çeteleri çökertecek ihtisas mahkemeleri olarak doðru Hrant Dink davasýnda çýktý Bu davayý gören özel yetkili aðýr ceza mahkemesi þu acý itirafý Bu cinayetin ardýnda çete ben sav Yardýmcýsý Bozdað diyor Bu mahkemeler terör mücadelede onun için Ýstanbul eski ülkemizin önde gelen ceza avukatlarýndan Turgut Kazan Erzurum Özel Yetkili Aðýr Ceza yýla kadar hapis meslekten men talebiyle hemen hemen herkesin anýmsayacaðý Ýlhan Cihaner davasý cezaevinden cezaevine gönderilen ilginç iddialarý içeren bir mektup ortaya vekili Kazan savcýdan gerçeðin ortaya çýkarýlmasý için araþtýrýlmasýný Savcý iki ay boyunca hiçbir iþlem Kazan tavrý Araþtýrma yapmayan savcý terfi araþtýrmanýn yapýlmamasýný eleþtiren savunma avukatý hakkýnda Erzurum Özel Yetkili Aðýr Ceza dava Olay kýsaca Sayýn Bekir sormak Sayýn hani terörle Turgut terörle ilgisi þunu bana anlatabilir Turgut Kazan savunduðu Ýlhan Cihaner terörist söyleyebilir Sayýn sivil darbenin savunucularýnýn bilgisine bir gerçeði arz Eylül günlerin ünlü savunma avukatý Turgut Kazan aleyhine savunmasýndan hapis meslekten men talebiyle herhangi bir dava bugün açýlýyor terörle mücadele amacýyla kurulmuþ özel yetkili aðýr ceza ,ALİ SİRMEN
